"","Gene Symbol","CE Detail","Ensembl ID","ID #","Canonical Splice Junction","Cryptic Exon Location
(hg38)","LeftJunction","RightJunction","L_padj_TDPvCtrl","R_padj_TDPvCtrl","L_padj_TDPvTXUTXS","R_padj_TDPvTXUTXS"
"286","PPP6R3",NA,"ENSG00000110075","CE285","chr11:68554258-68558565","chr11:68558178-68558349","chr11:68554258-68558177","chr11:68558350-68558565","1.03e-08","1.03e-08","0.00137","0.00137"
"287","PRELID3A",NA,"ENSG00000141391","CE286","chr18:12429437-12431149","chr18:12430178-12430292","chr18:12429437-12430177","chr18:12430293-12431149","1.24e-20","1.24e-20","not calculated","not calculated"
"288","PRKG2","1","ENSG00000138669","CE287","chr4:81110612-81135154","chr4:81110808-81110890","chr4:81110612-81110807","chr4:81110891-81135154","1.27e-08","1.27e-08","not calculated","not calculated"
"289","PRKG2","2","ENSG00000138669","CE288","chr4:81137483-81140532","chr4:81139454-81139601","chr4:81137483-81139453","chr4:81139602-81140532","3.49e-06","3.49e-06","0.0135","0.0135"
"290","PSD","long","ENSG00000059915","CE289","chr10:102417122-102418700","chr10:102417940-102418046","chr10:102417122-102417939","chr10:102418047-102418700","6.69e-76","6.69e-76","0.00814","0.00814"
"291","PSD","short","ENSG00000059915","CE290","chr10:102417122-102418700","chr10:102417908-102418046","chr10:102417122-102417907","chr10:102418047-102418700","6.69e-76","6.69e-76","0.00814","0.00814"
"292","PTPN12",NA,"ENSG00000127947","CE291","chr7:77600807-77607234","chr7:77604879-77604935","chr7:77600807-77604878","chr7:77604936-77607234","0.000955","0.000955","1.35e-08","1.35e-08"
"293","PTPRD",NA,"ENSG00000153707","CE292","chr9:9018736-9183303","chr9:9127165-9127206","chr9:9018736-9127164","chr9:9127207-9183303","1.4e-31","1.4e-31","0.00448","0.00448"
"294","PTPRN2","1","ENSG00000155093","CE293","chr7:157682938-157898672","chr7:157690552-157690857","chr7:157682938-157690551",NA,"4.18e-06",NA,"0.00031",NA
"295","PTPRN2","2","ENSG00000155093","CE294","chr7:157898738-158081297","chr7:158021907-158023626",NA,"chr7:158023627-158040510;chr7:158023627-158040515",NA,"not calculated",NA,"not calculated"
"296","PTPRN2","3_long","ENSG00000155093","CE295","chr7:157898738-158081297","chr7:158040511-158040550","chr7:158023627-158040510","chr7:158040551-158081297","not calculated","2.37e-09","not calculated","0.283"
"297","PTPRN2","3_short","ENSG00000155093","CE296","chr7:157898738-158081297","chr7:158040516-158040550","chr7:158023627-158040515","chr7:158040551-158081297","not calculated","2.37e-09","not calculated","0.283"
"298","PTPRN2","4","ENSG00000155093","CE297","chr7:158081378-158110828","chr7:158099929-158100856",NA,"chr7:158100857-158110828",NA,"5.46e-15",NA,"0.02"
"299","PTPRT",NA,"ENSG00000196090","CE298","chr20:42098553-42102123","chr20:42099129-42099289","chr20:42098553-42099128","chr20:42099290-42102123","1.93e-07","1.93e-07","0.000112","0.000112"
"300","PXDN",NA,"ENSG00000130508","CE299","chr2:1649676-1653627","chr2:1650800-1650886","chr2:1649676-1650799","chr2:1650887-1653627","4.69e-35","4.69e-35","0.503","0.503"
"301","RAB40B",NA,"ENSG00000141542","CE300","chr17:82664557-82698454","chr17:82696389-82696853","chr17:82664557-82696388","chr17:82696854-82698454","3.12e-11","3.12e-11","0.0496","0.0496"
"302","RAI1",NA,"ENSG00000108557","CE301","chr17:17724160-17792932","chr17:17792164-17792300","chr17:17724160-17792163","chr17:17792301-17792932","not calculated","3.89e-07","not calculated","0.546"
"303","RAI2","1_long","ENSG00000131831","CE302","chrX:17802035-17837536","chrX:17837537-17837733","chrX:17802035-17837536","chrX:17837734-17838999","1.72e-23","not calculated","0.0303","not calculated"
"304","RAI2","1_short","ENSG00000131831","CE303","chrX:17802035-17837536","chrX:17837537-17837730","chrX:17802035-17837536","chrX:17837731-17838999","1.72e-23","not calculated","0.0303","not calculated"
"305","RAI2","2","ENSG00000131831","CE304","chrX:17837734-17861097","chrX:17839000-17839105","chrX:17837734-17838999;chrX:17802035-17838999;chrX:17837730-17838999;chrX:17837733-17838999","chrX:17839106-17861097","not calculated","1.72e-23","not calculated","0.0303"
"306","RALGAPA2","1","ENSG00000188559","CE305","chr20:20472957-20495116","chr20:20490914-20491001","chr20:20472957-20490913","chr20:20491002-20495116","6.66e-34","6.66e-34","0.00505","0.00505"
"307","RALGAPA2","2","ENSG00000188559","CE306","chr20:20472957-20495116","chr20:20491485-20491538","chr20:20491002-20491484","chr20:20491539-20495116","6.66e-34","6.66e-34","0.00505","0.00505"
"308","RALY",NA,"ENSG00000125970","CE307","chr20:34072331-34073562","chr20:34072870-34072914","chr20:34072331-34072869","chr20:34072915-34073562","1.32e-18","1.32e-18","8.07e-06","8.07e-06"
"309","RANBP1",NA,"ENSG00000099901","CE308","chr22:20122422-20125307","chr22:20122580-20122697","chr22:20122422-20122579","chr22:20122698-20125307","3.84e-20","3.84e-20","0.000307","0.000307"
"310","RANBP17",NA,"ENSG00000204764","CE309","chr5:171265848-171293882","chr5:171271151-171271277","chr5:171265848-171271150",NA,"3.93e-11",NA,"0.0398",NA
"311","RAP1GAP",NA,"ENSG00000076864","CE310","chr1:21598503-21599493","chr1:21598723-21598820","chr1:21598503-21598722","chr1:21598821-21599493","3.92e-12","3.92e-12","0.167","0.167"
"312","RASA3",NA,"ENSG00000185989","CE311","chr13:113981859-113992484","chr13:113992155-113992184","chr13:113981859-113992154","chr13:113992185-113992484","not calculated","5.3e-06","not calculated","0.181"
"313","RBCK1",NA,"ENSG00000125826","CE312","chr20:410026-417525","chr20:417220-417342","chr20:410026-417219","chr20:417343-417525","3.91e-07","not calculated","0.000531","not calculated"
"314","RGPD4",NA,"ENSG00000196862","CE313","chr2:107872929-107879967","chr2:107878621-107878820","chr2:107872929-107878620","chr2:107878821-107879967","5.13e-11","5.13e-11","not calculated","not calculated"
"315","RGS7",NA,"ENSG00000182901","CE314","chr1:241098763-241355698","chr1:241101833-241102176","chr1:241098763-241101832","chr1:241102177-241355698","0.00525","not calculated","0.00117","not calculated"
"316","RIN2",NA,"ENSG00000132669","CE315","chr20:19965025-19970837","chr20:19968392-19968424","chr20:19965025-19968391","chr20:19968425-19970837","not calculated","not calculated","not calculated","not calculated"
"317","RNASET2",NA,"ENSG00000026297","CE316","chr6:166952549-166956096","chr6:166955484-166955627","chr6:166952549-166955483","chr6:166955628-166956096","not calculated","2.52e-07","not calculated","0.709"
"318","RNF115",NA,"ENSG00000265491","CE317","chr1:145784597-145788907","chr1:145788612-145788802","chr1:145784597-145788611","chr1:145788803-145788907","5.01e-09","5.01e-09","9.1e-06","9.1e-06"
"319","RNF144A",NA,"ENSG00000151692","CE318","chr2:7030216-7039628","chr2:7031277-7033089","chr2:7030216-7031276","chr2:7033090-7039628","1.39e-15","not calculated","0.000272","not calculated"
"320","RNF20",NA,"ENSG00000155827","CE319","chr9:101557597-101560800","chr9:101559923-101560065","chr9:101557597-101559922","chr9:101560066-101560800","7.13e-05","7.13e-05","5.7e-05","5.7e-05"
"321","RNFT2","1","ENSG00000135119","CE320","chr12:116779349-116833791","chr12:116788636-116788712","chr12:116779349-116788635","chr12:116788713-116790033","not calculated","not calculated","not calculated","not calculated"
"322","RNFT2","2","ENSG00000135119","CE321","chr12:116779349-116833791","chr12:116790034-116790087","chr12:116788713-116790033","chr12:116790088-116833791","not calculated","not calculated","not calculated","not calculated"
"323","ROBO2","1","ENSG00000185008","CE322","chr3:77622433-77634869","chr3:77624268-77624298","chr3:77622433-77624267","chr3:77624299-77634869","0.000432","0.000432","0.0112","0.0112"
"324","ROBO2","2","ENSG00000185008","CE323","chr3:77622433-77634869","chr3:77624574-77624658","chr3:77624299-77624573","chr3:77624659-77634869","0.000432","0.000432","0.0112","0.0112"
"325","RPGRIP1L",NA,"ENSG00000103494","CE324","chr16:53622357-53636438","chr16:53622890-53623000","chr16:53622357-53622889","chr16:53623001-53636438","not calculated","6.96e-10","not calculated","not calculated"
"326","RPS6KB1",NA,"ENSG00000108443","CE325","chr17:59936542-59940835","chr17:59937578-59937774","chr17:59936542-59937577","chr17:59937775-59940835","3.52e-05","3.52e-05","4.22e-05","4.22e-05"
"327","RPUSD4",NA,"ENSG00000165526","CE326","chr11:126205782-126209520","chr11:126206254-126206553","chr11:126205782-126206253","chr11:126206554-126209520","0.2","0.2","3.03e-10","3.03e-10"
"328","RRAGB",NA,"ENSG00000083750","CE327","chrX:55753515-55755840","chrX:55755068-55755206","chrX:55753515-55755067","chrX:55755207-55755840","0.00932","0.00932","1.42e-06","1.42e-06"
"329","RSF1",NA,"ENSG00000048649","CE328","chr11:77764690-77820527","chr11:77813214-77813783",NA,"chr11:77813784-77820527;chr11:77813788-77820527",NA,"5.79e-22, 5.79e-22",NA,"0.00598, 0.00598"
"330","SANBR",NA,"ENSG00000162929","CE329","chr2:61088469-61092463","chr2:61090479-61090694","chr2:61088469-61090478","chr2:61090695-61092463","1.57e-11","1.57e-11","0.00335","0.00335"
"331","SAT1",NA,"ENSG00000130066","CE330","chrX:23783884-23785327","chrX:23784294-23784403","chrX:23783884-23784293","chrX:23784404-23785327","0.0294","0.0294","7.72e-07","7.72e-07"
"332","SCAMP5",NA,"ENSG00000198794","CE331","chr15:74995674-75011791","chr15:75009891-75009940","chr15:75007729-75009890","chr15:75009941-75011791","6.51e-49","6.51e-49","0.000187","0.000187"
"333","SCARB1",NA,"ENSG00000073060","CE332","chr12:124817708-124863594","chr12:124862380-124862497","chr12:124817708-124862379","chr12:124862498-124863594","4.65e-07","4.65e-07","0.000832","0.000832"
"334","SCUBE3","long","ENSG00000146197","CE333","chr6:35214504-35227579","chr6:35218014-35218198","chr6:35214504-35218013","chr6:35218199-35227579","1.11e-14","1.11e-14","0.0213","0.0213"
"335","SCUBE3","short","ENSG00000146197","CE334","chr6:35214504-35227579","chr6:35218126-35218198","chr6:35214504-35218125","chr6:35218199-35227579","1.11e-14","1.11e-14","0.0213","0.0213"
"336","SCYL2",NA,"ENSG00000136021","CE335","chr12:100317926-100323524","chr12:100319224-100319286","chr12:100317926-100319223","chr12:100319287-100323524","1.17e-05","1.17e-05","0.00449","0.00449"
"337","SDAD1",NA,"ENSG00000198301","CE336","chr4:75982038-75990751","chr4:75984832-75984893","chr4:75982038-75984831","chr4:75984894-75990751","1.47e-20","1.47e-20","2.28e-08","2.28e-08"
"338","SEC24B",NA,"ENSG00000138802","CE337","chr4:109494857-109506330","chr4:109499847-109500054","chr4:109494857-109499846","chr4:109500055-109506330","not calculated","0.00216","not calculated","0.0324"
"339","SEMA4D","1","ENSG00000187764","CE338","chr9:89455954-89497918","chr9:89474539-89474623","chr9:89455954-89474538","chr9:89474624-89475484","2.76e-34","2.76e-34","1.49e-05","1.49e-05"
"340","SEMA4D","2","ENSG00000187764","CE339","chr9:89455954-89497918","chr9:89475485-89475550","chr9:89474624-89475484","chr9:89475551-89477590","2.76e-34","2.76e-34","1.49e-05","1.49e-05"
"341","SEMA4D","3","ENSG00000187764","CE340","chr9:89455954-89497918","chr9:89477591-89477674","chr9:89475551-89477590","chr9:89477675-89497918","2.76e-34","not calculated","1.49e-05","not calculated"
"342","SEMA6D",NA,"ENSG00000137872","CE341","chr15:47412473-47470473","chr15:47469226-47469299","chr15:47412473-47469225","chr15:47469300-47470473","2.08e-28","2.08e-28","5.35e-06","5.35e-06"
"343","SEPTIN11",NA,"ENSG00000138758","CE342","chr4:77030971-77034496","chr4:77032457-77032553","chr4:77030971-77032456","chr4:77032554-77034496","1.92e-14","1.92e-14","0.00374","0.00374"
"344","SERGEF","1","ENSG00000129158","CE343","chr11:17788414-17878207","chr11:17863566-17863782","chr11:17788414-17863565;chr11:17846762-17863565","chr11:17863783-17878207","7.88e-15, 7.88e-15","not calculated","0.00221, 0.00221","not calculated"
"345","SERGEF","2","ENSG00000129158","CE344","chr11:18010140-18012850","chr11:18011689-18011762","chr11:18010140-18011688","chr11:18011763-18012850","2.84e-09","not calculated","0.00199","not calculated"
"346","SETD5","long","ENSG00000168137","CE345","chr3:9464673-9470458","chr3:9468519-9468615","chr3:9464673-9468518","chr3:9468616-9470458","5.15e-54","5.15e-54","1.44e-14","1.44e-14"
"347","SETD5","short","ENSG00000168137","CE346","chr3:9464673-9470458","chr3:9468519-9468575","chr3:9464673-9468518","chr3:9468576-9470458","5.15e-54","5.15e-54","1.44e-14","1.44e-14"
"348","SEZ6L",NA,"ENSG00000100095","CE347","chr22:26169764-26292405","chr22:26195581-26195698","chr22:26169764-26195580","chr22:26195699-26292405","6.75e-06","not calculated","0.015","not calculated"
"349","SHANK1","1","ENSG00000161681","CE348","chr19:50689280-50697588","chr19:50697096-50697122","chr19:50689280-50697095","chr19:50697123-50697588","7.31e-12","7.31e-12","0.206","0.206"
"350","SHANK1","2","ENSG00000161681","CE349","chr19:50704515-50711370","chr19:50708551-50708843",NA,"chr19:50708844-50711370",NA,"1.93e-06",NA,"0.0328"
"351","SHQ1",NA,"ENSG00000144736","CE350","chr3:72750837-72792915","chr3:72762906-72763014","chr3:72750837-72762905","chr3:72763015-72792915","1.88e-09","1.88e-09","1.65e-05","1.65e-05"
"352","SIPA1L3",NA,"ENSG00000105738","CE351","chr19:37907359-38029088","chr19:38008096-38008195","chr19:37907359-38008095","chr19:38008196-38029088","not calculated","not calculated","not calculated","not calculated"
"353","SLC1A6","1","ENSG00000105143","CE352","chr19:14972918-14979308","chr19:14976761-14977032","chr19:14972918-14976760","chr19:14977033-14979308;chr19:14977033-14978119","2.16e-14","not calculated","0.151","not calculated"
"354","SLC1A6","2_long","ENSG00000105143","CE353","chr19:14972918-14979308","chr19:14978120-14978280","chr19:14972918-14978119","chr19:14978281-14979308;chr19:14978281-14979512","not calculated","2.16e-14","not calculated","0.151"
"355","SLC1A6","2_short","ENSG00000105143","CE354","chr19:14972918-14979512","chr19:14979000-14979046","chr19:14972918-14978999","chr19:14979047-14979512;chr19:14979047-14979308","not calculated","not calculated","not calculated","not calculated"
"356","SLC22A15","1","ENSG00000163393","CE355","chr1:116031582-116035186","chr1:116032647-116032800","chr1:116031582-116032646","chr1:116032801-116033757","1.74e-07","1.74e-07","7.58e-05","7.58e-05"
"357","SLC22A15","2","ENSG00000163393","CE356","chr1:116031582-116035186","chr1:116033758-116033871","chr1:116032801-116033757","chr1:116033872-116035186","1.74e-07","1.74e-07","7.58e-05","7.58e-05"
"358","SLC24A3","long","ENSG00000185052","CE357","chr20:19681992-19684175","chr20:19683910-19683960","chr20:19681992-19683909","chr20:19683961-19684175","5.05e-24","5.05e-24","0.152","0.152"
"359","SLC24A3","short","ENSG00000185052","CE358","chr20:19681992-19684175","chr20:19683913-19683960","chr20:19681992-19683912","chr20:19683961-19684175","5.05e-24","5.05e-24","0.152","0.152"
"360","SLC26A11",NA,"ENSG00000181045","CE359","chr17:80223338-80225836","chr17:80224082-80224172","chr17:80223338-80224081","chr17:80224173-80225836","not calculated","not calculated","not calculated","not calculated"
"361","SLF2",NA,"ENSG00000119906","CE360","chr10:100938737-100944025","chr10:100940405-100940502","chr10:100938737-100940404","chr10:100940503-100944025","2.71e-06","2.71e-06","0.000813","0.000813"
"362","SLF2","leaky","ENSG00000119906","CE361","chr10:100931079-100937401","chr10:100933401-100933432","chr10:100931079-100933400","chr10:100933433-100937401","5.85e-05","5.85e-05","not calculated","not calculated"
"363","SLMAP",NA,"ENSG00000163681","CE362","chr3:57890101-57896510","chr3:57896247-57896371","chr3:57890101-57896246","chr3:57896372-57896510","0.0125","0.0125","0.00591","0.00591"
"364","SPEG",NA,"ENSG00000072195","CE363","chr2:219464609-219466056","chr2:219465596-219465786","chr2:219464609-219465595","chr2:219465787-219466056","6.75e-23","6.75e-23","0.00701","0.00701"
"365","SPPL2B",NA,"ENSG00000005206","CE364","chr19:2334722-2337442","chr19:2337115-2337333","chr19:2334722-2337114","chr19:2337334-2337442","3.21e-06","3.21e-06","0.0295","0.0295"
"366","STIMATE",NA,"ENSG00000213533","CE365","chr3:52855445-52897290","chr3:52895878-52895955","chr3:52855445-52895877","chr3:52895956-52897290","0.000325","0.000325","0.0632","0.0632"
"367","STMN2",NA,"ENSG00000104435","CE366","chr8:79611215-79636801","chr8:79616822-79617023","chr8:79611215-79616821",NA,"4.42e-15",NA,"0.248, 9.56e-05",NA
"368","STXBP5L","long","ENSG00000145087","CE367","chr3:120908335-120909570","chr3:120908335-120908428",NA,"chr3:120908429-120909570",NA,"not calculated",NA,"not calculated"
"369","STXBP5L","short","ENSG00000145087","CE368","chr3:120908335-120909570","chr3:120908335-120908416",NA,"chr3:120908417-120909570",NA,"not calculated",NA,"not calculated"
"370","SUGP1",NA,"ENSG00000105705","CE369","chr19:19302389-19303347","chr19:19302389-19302446",NA,"chr19:19302447-19303347",NA,"2.33e-05",NA,"0.00586"
"371","SULT4A1",NA,"ENSG00000130540","CE370","chr22:43826114-43829059","chr22:43827514-43827640","chr22:43826114-43827513","chr22:43827641-43829059","0.0177","0.0177","6.77e-07","6.77e-07"
"372","SYNE1",NA,"ENSG00000131018","CE371","chr6:152244657-152249160","chr6:152247823-152247944","chr6:152244657-152247822","chr6:152247945-152249160","1.86e-22","1.86e-22","0.138","0.138"
"373","SYT7",NA,"ENSG00000011347","CE372","chr11:61547309-61551383","chr11:61547530-61547620","chr11:61547309-61547529","chr11:61547621-61551383","4.66e-56","4.66e-56","4.39e-20","4.39e-20"
"374","SYT7","leaky","ENSG00000011347","CE373","chr11:61546256-61547176","chr11:61546535-61546659","chr11:61546256-61546534","chr11:61546660-61547176","4.66e-56","4.66e-56","4.39e-20","4.39e-20"
"375","TAOK1",NA,"ENSG00000160551","CE374","chr17:29534301-29542560","chr17:29534874-29534928","chr17:29534301-29534873","chr17:29534929-29542560","2.19e-21","2.19e-21","0.45","0.45"
"376","TAOK3",NA,"ENSG00000135090","CE375","chr12:118151159-118152226","chr12:118151927-118151995","chr12:118151159-118151926","chr12:118151996-118152226","4.87e-18","4.87e-18","0.0954","0.0954"
"377","TBCK",NA,"ENSG00000145348","CE376","chr4:106252008-106260436","chr4:106254947-106255047","chr4:106252008-106254946","chr4:106255048-106260436","1.98e-05","1.98e-05","4.68e-05","4.68e-05"
"378","TBL1XR1",NA,"ENSG00000177565","CE377","chr3:177034326-177038097","chr3:177037637-177037842","chr3:177034326-177037636","chr3:177037843-177038097","8.86e-08","not calculated","0.206","not calculated"
"379","TFAP2E",NA,"ENSG00000116819","CE378","chr1:35588553-35589929","chr1:35589019-35589133","chr1:35588553-35589018","chr1:35589134-35589929","1.25e-06","1.25e-06","0.00385","0.00385"
"380","TGFB3",NA,"ENSG00000119699","CE379","chr14:75959346-75960922","chr14:75960814-75960922","chr14:75959346-75960813",NA,"2.57e-05",NA,"not calculated",NA
"381","THADA",NA,"ENSG00000115970","CE380","chr2:43320541-43344121","chr2:43333155-43333263","chr2:43320541-43333154","chr2:43333264-43344121","0.00976","0.00976","0.00276","0.00276"
"382","TMEM117",NA,"ENSG00000139173","CE381","chr12:43836197-43844623","chr12:43836744-43836901","chr12:43836197-43836743","chr12:43836902-43844623","1.55e-17","1.55e-17","not calculated","not calculated"
"383","TMX3",NA,"ENSG00000166479","CE382","chr18:68687766-68691294","chr18:68689948-68689981","chr18:68687766-68689947","chr18:68689982-68691294","not calculated","1.94e-05","not calculated","0.00021"
"384","TNKS2",NA,"ENSG00000107854","CE383","chr10:91828407-91830922","chr10:91830034-91830094","chr10:91828407-91830033","chr10:91830095-91830922","2.56e-07","2.56e-07","0.000136","0.000136"
"385","TRAF3",NA,"ENSG00000131323","CE384","chr14:102876526-102886188","chr14:102878240-102878329","chr14:102876526-102878239","chr14:102878330-102886188","7.21e-07","7.21e-07","0.0025","0.0025"
"386","TRAPPC12","long","ENSG00000171853","CE385","chr2:3457694-3460262","chr2:3457795-3458515","chr2:3457694-3457794","chr2:3458516-3460262","3.18e-24","3.18e-24","3.79e-06","3.79e-06"
"387","TRAPPC12","short","ENSG00000171853","CE386","chr2:3457694-3460262","chr2:3458462-3458515","chr2:3457694-3458461","chr2:3458516-3460262","3.18e-24","3.18e-24","3.79e-06","3.79e-06"
"388","TRIM24",NA,"ENSG00000122779","CE387","chr7:138538804-138551062","chr7:138545251-138545361","chr7:138538804-138545250","chr7:138545362-138551062","1.94e-05","1.94e-05","1.24e-05","1.24e-05"
"389","TRRAP",NA,"ENSG00000196367","CE388","chr7:98881251-98881974","chr7:98881695-98881736","chr7:98881251-98881694","chr7:98881737-98881974","9.49e-18","9.49e-18","0.474","0.474"
"390","TTC19",NA,"ENSG00000011295","CE389","chr17:16006569-16025016","chr17:16024489-16024582","chr17:16006569-16024488","chr17:16024583-16025016","0.0194","0.0194","3.47e-07","3.47e-07"
"391","TTC28","1","ENSG00000100154","CE390","chr22:28014393-28030225","chr22:28015079-28015187","chr22:28014393-28015078","chr22:28015188-28030225","4.42e-10","not calculated","0.0119","not calculated"
"392","TTC28","2","ENSG00000100154","CE391","chr22:28014393-28030225","chr22:28027193-28027282","chr22:28014393-28027192","chr22:28027283-28030225","4.42e-10","not calculated","0.0119","not calculated"
"393","UBASH3B",NA,"ENSG00000154127","CE392","chr11:122656211-122776218","chr11:122744155-122744189","chr11:122656211-122744154","chr11:122744190-122776218","3.06e-20","3.06e-20","0.00326","0.00326"
"394","UHRF1BP1L",NA,"ENSG00000111647","CE393","chr12:100072814-100083015","chr12:100078162-100078374","chr12:100072814-100078161","chr12:100078375-100083015","0.072","0.072","0.00571","0.00571"
"395","UIMC1",NA,"ENSG00000087206","CE394","chr5:176975481-176982468","chr5:176980121-176980390","chr5:176975481-176980120","chr5:176980391-176982468","5.63e-07","5.63e-07","0.000764","0.000764"
"396","UNC13A","long","ENSG00000130477","CE395","chr19:17641557-17642844","chr19:17642414-17642591","chr19:17641557-17642413","chr19:17642592-17642844","1.92e-31","1.92e-31","0.00321","0.00321"
"397","UNC13A","short","ENSG00000130477","CE396","chr19:17641557-17642844","chr19:17642414-17642541","chr19:17641557-17642413","chr19:17642542-17642844","1.92e-31","1.92e-31","0.00321","0.00321"
"398","UNC13B",NA,"ENSG00000198722","CE397","chr9:35313990-35366946","chr9:35364545-35364567","chr9:35313990-35364544","chr9:35364568-35366946","9.09e-13","9.09e-13","0.000324","0.000324"
"399","USP10",NA,"ENSG00000103194","CE398","chr16:84733504-84740308","chr16:84735056-84735173","chr16:84733504-84735055","chr16:84735174-84740308","1.16e-17","1.16e-17","0.0136","0.0136"
"400","USP13",NA,"ENSG00000058056","CE399","chr3:179701130-179706933","chr3:179701130-179701179",NA,"chr3:179701180-179706933",NA,"2.05e-05",NA,"not calculated"
"401","USP3",NA,"ENSG00000140455","CE400","chr15:63588424-63588701","chr15:63588533-63588576","chr15:63588424-63588532","chr15:63588577-63588701","4.54e-08","4.54e-08","7.52e-05","7.52e-05"
"402","USP36",NA,"ENSG00000055483","CE401","chr17:78836373-78838586","chr17:78836897-78836976","chr17:78836373-78836896","chr17:78836977-78838586","3.97e-08","3.97e-08","not calculated","not calculated"
"403","UVRAG",NA,"ENSG00000198382","CE402","chr11:76008868-76016814","chr11:76012927-76013102","chr11:76008868-76012926","chr11:76013103-76016814","1.28e-11","1.28e-11","1.09e-06","1.09e-06"
"404","VOPP1","1","ENSG00000154978","CE403","chr7:55492419-55497612","chr7:55492749-55492973","chr7:55492419-55492748","chr7:55492974-55493087","5.51e-07","5.51e-07","0.00153","0.00153"
"405","VOPP1","2","ENSG00000154978","CE404","chr7:55492419-55497612","chr7:55493088-55493209","chr7:55492974-55493087","chr7:55493210-55497612","5.51e-07","not calculated","0.00153","not calculated"
"406","VWCE",NA,"ENSG00000167992","CE405","chr11:61271761-61273198","chr11:61273117-61273198","chr11:61271761-61273116",NA,"2.93e-08",NA,"not calculated",NA
"407","WASHC3",NA,"ENSG00000120860","CE406","chr12:102046120-102061247","chr12:102050518-102050639","chr12:102046120-102050517","chr12:102050640-102061247","1.4e-08","1.4e-08","5.05e-09","5.05e-09"
"408","WASL",NA,"ENSG00000106299","CE407","chr7:123684581-123689041","chr7:123688997-123689041","chr7:123684581-123688996",NA,"1.4e-31",NA,"0.089",NA
"409","WDR35",NA,"ENSG00000118965","CE408","chr2:19975664-19978750","chr2:19977925-19978167","chr2:19975664-19977924","chr2:19978168-19978750","6.11e-15","6.11e-15","not calculated","not calculated"
"410","XPO4",NA,"ENSG00000132953","CE409","chr13:20799340-20800155","chr13:20800113-20800155","chr13:20799340-20800112",NA,"6.38e-05",NA,"not calculated",NA
"411","ZDHHC11",NA,"ENSG00000188818","CE410","chr5:821896-825163","chr5:823389-824560","chr5:821896-823388","chr5:824561-825163","4.1e-57","4.1e-57","0.000334","0.000334"
"412","ZFAND1",NA,"ENSG00000104231","CE411","chr8:81718225-81721226","chr8:81719382-81719503","chr8:81718225-81719381","chr8:81719504-81721226","7.12e-06","7.12e-06","0.000149","0.000149"
"413","ZFAT",NA,"ENSG00000066827","CE412","chr8:134637713-134657560","chr8:134645005-134645052","chr8:134637713-134645004","chr8:134645053-134657560","6.5e-06","not calculated","not calculated","not calculated"
"414","ZFP91",NA,"ENSG00000186660","CE413","chr11:58616816-58617195","chr11:58616993-58617054","chr11:58616816-58616992","chr11:58617055-58617195","6.18e-18","6.18e-18","0.000244","0.000244"
"415","ZGPAT",NA,"ENSG00000197114","CE414","chr20:63709165-63733218","chr20:63732003-63732045","chr20:63709165-63732002","chr20:63732046-63733218","not calculated","4.79e-07","not calculated","0.253"
"416","ZNF195",NA,"ENSG00000005801","CE415","chr11:3361890-3370974","chr11:3363303-3363391","chr11:3361890-3363302","chr11:3363392-3363302","not calculated","not calculated","not calculated","not calculated"
"417","ZNF423",NA,"ENSG00000102935","CE416","chr16:49638875-49730770","chr16:49640443-49640505","chr16:49638875-49640442","chr16:49640506-49730770","2.25e-20","2.25e-20","0.0175","0.0175"
"418","ZNF521",NA,"ENSG00000198795","CE417","chr18:25092082-25195159","chr18:25160540-25160675","chr18:25092082-25160539","chr18:25160676-25195159","6.3e-18","not calculated","0.000224","not calculated"
"419","ZNF529",NA,"ENSG00000186020","CE418","chr19:36572393-36573139","chr19:36573043-36573138","chr19:36572393-36573042",NA,"9.9e-09",NA,"not calculated",NA
"420","ZNF544",NA,"ENSG00000198131","CE419","chr19:58230463-58243964","chr19:58241963-58242308","chr19:58230463-58241962","chr19:58242309-58243964","3.86e-10","3.86e-10","0.342","0.342"
"421","ZNF710",NA,"ENSG00000140548","CE420","chr15:90001615-90067109","chr15:90002433-90003464",NA,"chr15:90003465-90067109",NA,"0.00163",NA,"0.00496"
"422","ZNHIT1",NA,"ENSG00000106400","CE421","chr7:101218218-101222603","chr7:101220797-101221796","chr7:101218218-101220796","chr7:101221797-101222603","1.29e-06","1.29e-06","9.62e-18","9.62e-18"
